Tmedia,Urmedia,Vento_Km,Pressao,Chuva_mm,Rad_w_m2,ET_mm,ETClass
19.41597222,91.88888889,195.22,1003.920833,85.8,4132,0.75,1
15.95069444,94.1875,213.68,1003.401389,11.8,4306,0.47,0
10.53194444,84.86111111,198.56,1012.772917,4.8,16323,1.71,2
7.981944444,78.0625,235.1,1018.389583,0,15851,1.94,2
7.536111111,78.17361111,146.52,1021.613889,0,26418,2.51,3
9.215972222,79.68055556,52.27,1021.450694,0,13846,1.34,1
9.076388889,79.97916667,93.76,1021.845139,0,17435,1.74,2
9.598611111,75.51388889,38.56,1020.456944,0,27475,2.62,3
12.41736111,73.63194444,46.65,1019.234028,0,24270,2.54,3
11.96597222,85.80555556,80.75,1020.655556,1,12278,1.27,1
11.09305556,82.59722222,49.6,1019.246528,0.2,25961,2.53,3
12.14166667,76.61111111,108.79,1019.533333,0.2,20697,2.42,2
13.06388889,85.92361111,225.94,1019.291667,0,19327,2.26,2
13.74652778,86.8125,149.11,1019.936806,0,13235,1.58,2
15.35416667,87.93055556,200.78,1016.879861,0.2,5134,0.88,1
17.04444444,90.28472222,130.39,1014.197917,0,10632,1.19,1
16.66180556,88.63194444,171.31,1016.152778,0.4,8105,1.15,1
11.93611111,90.82638889,259.94,1020.982639,0.4,7466,0.83,1
10.23125,79.22222222,223.8,1023.920139,0,21633,2.48,2
10.09097222,89.40972222,107.23,1023.860417,0.2,10972,1.16,1
14.7875,85.99305556,175.15,1018.33125,0.2,13264,1.63,2
15.66944444,92.625,240.05,1006.638194,60.6,2605,0.6,1
10.34583333,85.68055556,233.06,1014.690278,1,9584,1.37,1
8.182638889,78.51388889,198.15,1018.060417,0,19963,2.26,2
8.640972222,78.84722222,89.09,1020.35625,0,20655,1.96,2
7.985416667,81.92361111,66.37,1022.326389,0,20893,1.91,2
9.000694444,89.22222222,161.47,1020.59375,0,9743,1.11,1
10.89652778,92.21527778,59.6,1019.044444,0.4,7192,0.71,1
10.74097222,89.43055556,105.62,1018.599306,0,9357,1.02,1
7.2375,91.47222222,72.93,1025.722222,0.2,9661,0.8,1
9.859027778,78.625,95.62,1027.511806,0.2,22302,2.35,2
13.87794118,80.94852941,197.51,1021.730147,0,16358,2.42,2
12.76388889,86.9375,103.05,1019.633333,0,14693,1.59,2
12.06875,94.43055556,75.15,1021.170833,0,6962,0.63,1
15.04375,88.25,189.85,1021.193056,0.4,9455,1.27,1
16.22916667,91.16666667,207.36,1012.730556,20,3308,0.67,1
